episode,global_steps,score,avg_score,epsilon
518,47550,15,19.54,0.1
519,47643,15,19.47,0.1
520,47780,23,19.47,0.1
521,47875,15,19.4,0.1
522,47999,21,19.39,0.1
523,48135,23,19.4,0.1
524,48262,22,19.41,0.1
525,48387,21,19.41,0.1
526,48523,23,19.65,0.1
527,48648,21,19.64,0.1
528,48772,21,19.62,0.1
529,48897,21,19.61,0.1
530,48994,15,19.54,0.1
531,49095,15,19.47,0.1
532,49195,15,19.39,0.1
533,49292,15,19.31,0.1
534,49390,15,19.24,0.1
535,49515,21,19.3,0.1
536,49619,16,19.24,0.1
537,49744,20,19.23,0.1
538,49871,21,19.22,0.1
539,49997,21,19.22,0.1
540,50106,17,19.17,0.1
541,50200,15,19.11,0.1
542,50320,20,19.09,0.1
543,50416,15,19.01,0.1
544,50546,21,19.01,0.1
545,50689,23,19.03,0.1
546,50816,20,19.01,0.1
547,50941,21,19.0,0.1
548,50965,0,18.79,0.1
549,51090,21,18.79,0.1
550,51215,21,18.77,0.1
551,51309,15,18.7,0.1
552,51392,12,18.61,0.1
553,51529,23,18.62,0.1
554,51551,-1,18.39,0.1
555,51573,0,18.18,0.1
556,51669,15,18.11,0.1
557,51765,15,18.26,0.1
558,51864,15,18.19,0.1
559,51988,21,18.2,0.1
560,52084,15,18.13,0.1
561,52151,9,18.01,0.1
562,52215,9,17.87,0.1
563,52312,15,17.79,0.1
564,52434,20,17.78,0.1
565,52560,21,17.78,0.1
566,52687,21,17.99,0.1
567,52831,23,17.99,0.1
568,52927,15,18.15,0.1
569,53025,15,18.31,0.1
570,53091,9,18.19,0.1
571,53185,15,18.11,0.1
572,53281,15,18.03,0.1
573,53377,15,17.97,0.1
574,53478,16,17.91,0.1
575,53601,21,17.89,0.1
576,53726,21,17.88,0.1
577,53851,21,17.86,0.1
578,53945,15,17.8,0.1
579,54052,16,17.73,0.1
580,54147,15,17.68,0.1
581,54213,9,17.54,0.1
582,54319,17,17.48,0.1
583,54449,21,17.46,0.1
584,54587,23,17.47,0.1
585,54712,21,17.47,0.1
586,54850,21,17.45,0.1
587,54945,15,17.37,0.1
588,55038,14,17.28,0.1
589,55136,14,17.33,0.1
590,55223,13,17.31,0.1
591,55349,21,17.29,0.1
592,55433,12,17.2,0.1
593,55560,21,17.18,0.1
594,55682,19,17.16,0.1
595,55801,19,17.2,0.1
596,55868,9,17.06,0.1
597,55965,15,16.98,0.1
598,56067,15,16.9,0.1
599,56161,15,16.9,0.1
600,56258,15,16.83,0.1
601,56382,21,16.83,0.1
602,56488,16,16.76,0.1
603,56580,12,16.73,0.1
604,56719,23,16.97,0.1
605,56837,19,16.93,0.1
606,56981,23,16.97,0.1
607,57092,16,16.98,0.1
608,57200,15,16.92,0.1
609,57327,21,16.92,0.1
610,57446,19,16.88,0.1
611,57568,20,16.93,0.1
612,57668,15,17.08,0.1
613,57769,15,17.03,0.1
614,57869,16,16.99,0.1
615,57967,15,16.99,0.1
616,58046,12,16.96,0.1
617,58143,15,16.88,0.1
618,58244,16,16.89,0.1
619,58365,20,16.94,0.1
620,58503,23,16.94,0.1
621,58612,17,16.96,0.1
622,58737,21,16.96,0.1
623,58843,17,16.9,0.1
624,58965,21,16.89,0.1
625,59065,16,16.84,0.1
626,59190,20,16.81,0.1
627,59313,20,16.8,0.1
628,59415,16,16.75,0.1
629,59516,16,16.7,0.1
630,59625,15,16.7,0.1
631,59768,23,16.78,0.1
632,59908,23,16.86,0.1
633,60048,23,16.94,0.1
634,60189,23,17.02,0.1
635,60310,20,17.01,0.1
636,60438,21,17.06,0.1
637,60541,16,17.02,0.1
638,60566,0,16.81,0.1
639,60670,16,16.76,0.1
640,60795,21,16.8,0.1
641,60935,23,16.88,0.1
642,61070,23,16.91,0.1
643,61169,15,16.91,0.1
644,61311,23,16.93,0.1
645,61453,24,16.94,0.1
646,61591,23,16.97,0.1
647,61714,20,16.96,0.1
648,61843,21,17.17,0.1
649,61984,23,17.19,0.1
650,62083,16,17.14,0.1
651,62223,23,17.22,0.1
652,62346,19,17.29,0.1
653,62454,16,17.22,0.1
654,62598,24,17.47,0.1
655,62737,23,17.7,0.1
656,62873,23,17.78,0.1
657,63015,23,17.86,0.1
658,63141,21,17.92,0.1
659,63282,23,17.94,0.1
660,63421,23,18.02,0.1
661,63561,23,18.16,0.1
662,63697,23,18.3,0.1
663,63834,23,18.38,0.1
664,63970,23,18.41,0.1
665,64109,23,18.43,0.1
666,64231,20,18.42,0.1
667,64332,15,18.34,0.1
668,64451,19,18.38,0.1
669,64591,23,18.46,0.1
670,64714,20,18.57,0.1
671,64832,19,18.61,0.1
672,64956,20,18.66,0.1
673,65080,21,18.72,0.1
674,65217,23,18.79,0.1
675,65370,24,18.82,0.1
676,65413,2,18.63,0.1
677,65538,20,18.62,0.1
678,65646,16,18.63,0.1
679,65785,23,18.7,0.1
680,65926,21,18.76,0.1
681,66065,23,18.9,0.1
682,66110,1,18.74,0.1
683,66230,19,18.72,0.1
684,66370,23,18.72,0.1
685,66490,19,18.7,0.1
686,66632,23,18.72,0.1
687,66662,1,18.58,0.1
688,66802,23,18.67,0.1
689,66919,19,18.72,0.1
690,66970,0,18.59,0.1
691,67106,23,18.61,0.1
692,67246,23,18.72,0.1
693,67384,23,18.74,0.1
694,67491,16,18.71,0.1
695,67619,20,18.72,0.1
696,67744,21,18.84,0.1
697,67883,23,18.92,0.1
698,68007,20,18.97,0.1
699,68146,23,19.05,0.1
700,68284,23,19.13,0.1
701,68392,17,19.09,0.1
702,68528,23,19.16,0.1
703,68571,3,19.07,0.1
704,68713,24,19.08,0.1
705,68837,19,19.08,0.1
706,68954,17,19.02,0.1
707,69062,16,19.02,0.1
708,69092,0,18.87,0.1
709,69197,17,18.83,0.1
710,69336,23,18.87,0.1
711,69418,12,18.79,0.1
712,69527,17,18.81,0.1
713,69654,20,18.86,0.1
714,69687,1,18.71,0.1
715,69825,23,18.79,0.1
716,69965,23,18.9,0.1
717,70087,19,18.94,0.1
718,70230,24,19.02,0.1
719,70370,23,19.05,0.1
720,70479,16,18.98,0.1
721,70584,16,18.97,0.1
722,70703,19,18.95,0.1
723,70807,16,18.94,0.1
724,70916,16,18.89,0.1
725,71085,23,18.96,0.1
726,71229,24,19.0,0.1
727,71353,19,18.99,0.1
728,71471,19,19.02,0.1
729,71611,23,19.09,0.1
730,71714,16,19.1,0.1
731,71796,12,18.99,0.1
732,71940,23,18.99,0.1
733,72057,19,18.95,0.1
734,72183,19,18.91,0.1
735,72292,16,18.87,0.1
736,72396,16,18.82,0.1
737,72523,21,18.87,0.1
738,72629,16,19.03,0.1
739,72767,23,19.1,0.1
740,72906,23,19.12,0.1
741,72989,12,19.01,0.1
742,73093,16,18.94,0.1
743,73204,17,18.96,0.1
744,73325,19,18.92,0.1
745,73391,10,18.78,0.1
746,73511,19,18.74,0.1
747,73619,17,18.71,0.1
748,73638,0,18.5,0.1
749,73791,25,18.52,0.1
750,73813,0,18.36,0.1
751,73919,16,18.29,0.1
752,74040,20,18.3,0.1
753,74059,0,18.14,0.1
754,74182,20,18.1,0.1
755,74325,24,18.11,0.1
756,74432,16,18.04,0.1
757,74573,23,18.04,0.1
758,74699,21,18.04,0.1
759,74821,20,18.01,0.1
760,74961,23,18.01,0.1
761,75101,23,18.01,0.1
762,75253,25,18.03,0.1
763,75374,19,17.99,0.1
764,75534,26,18.02,0.1
765,75639,17,17.96,0.1
766,75767,21,17.97,0.1
767,75909,23,18.05,0.1
768,76034,21,18.07,0.1
769,76184,23,18.07,0.1
770,76328,23,18.1,0.1
771,76436,17,18.08,0.1
772,76572,23,18.11,0.1
773,76692,19,18.09,0.1
774,76829,23,18.09,0.1
775,76862,1,17.86,0.1
776,76976,17,18.01,0.1
777,77127,25,18.06,0.1
778,77151,0,17.9,0.1
779,77297,24,17.91,0.1
780,77419,20,17.9,0.1
781,77541,20,17.87,0.1
782,77650,17,18.03,0.1
783,77791,23,18.07,0.1
784,77906,16,18.0,0.1
785,78012,17,17.98,0.1
786,78166,26,18.01,0.1
787,78323,26,18.26,0.1
788,78457,23,18.26,0.1
789,78601,24,18.31,0.1
790,78759,26,18.57,0.1
791,78904,24,18.58,0.1
792,79027,20,18.55,0.1
793,79109,12,18.44,0.1
794,79256,21,18.49,0.1
795,79378,20,18.49,0.1
796,79536,26,18.54,0.1
797,79641,16,18.47,0.1
798,79763,19,18.46,0.1
799,79886,20,18.43,0.1
800,80025,23,18.43,0.1
801,80150,20,18.46,0.1
802,80237,13,18.36,0.1
803,80370,21,18.54,0.1
804,80536,26,18.56,0.1
805,80679,24,18.61,0.1
806,80807,21,18.65,0.1
807,80966,26,18.75,0.1
808,81089,20,18.95,0.1
809,81211,20,18.98,0.1
810,81336,21,18.96,0.1
811,81460,20,19.04,0.1
812,81584,20,19.07,0.1
813,81747,26,19.13,0.1
814,81869,20,19.32,0.1
815,81977,16,19.25,0.1
816,82119,24,19.26,0.1
817,82282,26,19.33,0.1
818,82395,16,19.25,0.1
819,82503,17,19.19,0.1
820,82627,20,19.23,0.1
821,82748,20,19.27,0.1
822,82871,20,19.28,0.1
823,82988,19,19.31,0.1
824,83117,21,19.36,0.1
825,83224,17,19.3,0.1
826,83371,25,19.31,0.1
827,83479,17,19.29,0.1
828,83636,26,19.36,0.1
829,83755,19,19.32,0.1
830,83880,20,19.36,0.1
831,83992,18,19.42,0.1
832,84030,0,19.19,0.1
833,84154,21,19.21,0.1
834,84235,-1,19.01,0.1
835,84399,26,19.11,0.1
836,84502,16,19.11,0.1
837,84640,21,19.11,0.1
838,84759,19,19.14,0.1
839,84883,21,19.12,0.1
840,85016,20,19.09,0.1
841,85122,16,19.13,0.1
842,85246,20,19.17,0.1
843,85408,27,19.27,0.1
844,85544,21,19.29,0.1
845,85667,20,19.39,0.1
846,85796,21,19.41,0.1
847,85926,21,19.45,0.1
848,86055,21,19.66,0.1
849,86178,20,19.61,0.1
850,86304,21,19.82,0.1
851,86432,21,19.87,0.1
852,86597,27,19.94,0.1
